Feature1,Feature2,Target,Category_A,Category_B,Category_C,Category_D
1.6982978664753787,-0.5193791619309046,0.9329364235414814,True,False,False,False
0.338384087748666,0.8873796408149046,0.9329364235414814,False,True,False,False
0.9152759230091716,1.442679168214566,-1.0718844015157447,False,False,True,False
2.173746769177168,-0.5563991304242153,0.9329364235414814,False,False,False,True
1.8015013663772417,-1.2227585633038092,-1.0718844015157447,True,False,False,False
-1.0350301170264582,0.9243996093082153,0.9329364235414814,False,True,False,False
0.8867099876430237,0.36910008190855387,0.9329364235414814,False,False,True,False
-0.21152039809661816,-0.8155389098773906,-1.0718844015157447,False,False,False,True
-0.16352256271287155,1.2205593572547015,-1.0718844015157447,True,False,False,False
0.348794902043463,-0.18619944549110765,0.9329364235414814,False,True,False,False
0.08301807422251739,-1.0376587208372552,0.9329364235414814,False,False,True,False
1.3894233057363448,-0.2232194139844184,-1.0718844015157447,False,False,False,True
0.6982111548839359,0.29506014492193233,0.9329364235414814,True,False,False,False
0.06071481580867568,1.2205593572547015,0.9329364235414814,False,True,False,False
0.3819625294680571,-1.2967985002904308,0.9329364235414814,False,False,True,False
0.27209527754670787,-0.29725935097103995,0.9329364235414814,False,False,False,True
1.4291126751356176,1.7388389161610522,0.9329364235414814,True,False,False,False
-0.2651644024075627,-1.6669981852235383,0.9329364235414814,False,True,False,False
0.2515488048145183,1.8128788531476738,-1.0718844015157447,False,False,True,False
-0.9122075585742814,-0.07513954001117536,-1.0718844015157447,False,False,False,True
-2.6061423777409822,1.5537390736944985,0.9329364235414814,True,False,False,False
0.5911055933494288,-0.8155389098773906,-1.0718844015157447,False,True,False,False
0.8013077971583148,0.7763197353349723,0.9329364235414814,False,False,True,False
-0.8006035776727287,1.3316192627346337,-1.0718844015157447,False,False,False,True
2.2025239443120723,-1.592958248236917,-1.0718844015157447,True,False,False,False
-1.5107252403676321,1.1094994517747692,0.9329364235414814,False,True,False,False
-0.014980074829830619,-0.4083192564509723,0.9329364235414814,False,False,True,False
-0.24724245794449795,1.479699136707877,0.9329364235414814,False,False,False,True
1.4676998463974036,0.5541999243751077,0.9329364235414814,True,False,False,False
1.404464533143499,0.8503596723215938,0.9329364235414814,False,True,False,False
0.09389009921622447,1.5167191052011877,-1.0718844015157447,False,False,True,False
0.3164536038824197,-0.11215950850448612,0.9329364235414814,False,False,False,True
-0.9457992220886756,-0.5193791619309046,0.9329364235414814,True,False,False,False
-2.0356193250084877,-1.2967985002904308,0.9329364235414814,False,True,False,False
-0.40750157378412694,1.4056591997212553,-1.0718844015157447,False,False,True,False
0.09528755136500448,-1.3338184687837413,-1.0718844015157447,False,False,False,True
1.1660943098346752,0.29506014492193233,0.9329364235414814,True,False,False,False
1.138264952658281,-0.33427931946435074,0.9329364235414814,False,True,False,False
-0.44680118614485514,-0.6674590359041476,-1.0718844015157447,False,False,True,False
-0.3620253138498054,-1.6299782167302275,0.9329364235414814,False,False,False,True
-1.1060971424586745,-0.7044790043974584,0.9329364235414814,True,False,False,False
-1.476477767744893,1.3686392312279445,0.9329364235414814,False,True,False,False
-1.7618944195981365,1.590759042187809,-1.0718844015157447,False,False,True,False
1.884475850764476,-0.8525588783707014,-1.0718844015157447,False,False,False,True
-0.5687694693894408,0.25804017642862154,-1.0718844015157447,True,False,False,False
-0.4974005328989699,0.184000239442,0.9329364235414814,False,True,False,False
-1.3097433315828324,-0.001099603024553819,-1.0718844015157447,False,False,True,False
0.7146157585428992,-0.9636187838506337,-1.0718844015157447,False,False,False,True
-1.6697917214895617,0.25804017642862154,-1.0718844015157447,True,False,False,False
-0.27272428612159605,-0.6304390674108369,-1.0718844015157447,False,True,False,False
